Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
;Madeira;RDS do Juma;1;Castanha;700;Kg;1750;;;
;Madeira;RDS do Juma;1;Oleos;60;Kg;1500;;;
07/10/2016;Madeira;RDS do Juma;1;Farinha;2500;Kg;5200;;;
;Madeira;RDS do Juma;1;Castanha;1000;Kg;4900;;;
;Madeira;RDS do Juma;1;Oleos;70;Kg;1904;;;
28/09/2016;Madeira;RDS do Juma;1;Farinha;2500;Kg;4550;;;
;Madeira;RDS do Juma;1;Castanha;1600;Kg;4680;;;
;Madeira;RDS do Juma;1;Oleos;70;Kg;1725;;;
07/10/2016;Madeira;RDS do Juma;1;Farinha;1000;Kg;3000;;;
;Madeira;RDS do Juma;1;Castanha;1000;Kg;4750;;;
28/09/2916;Madeira;RDS do Juma;1;Farinha;1000;Kg;2250;;;
;Madeira;RDS do Juma;1;Oleos;40;Kg;975;;;
28/09/2016;Madeira;RDS do Juma;1;Farinha;750;Kg;1500;;;
;Madeira;RDS do Juma;1;Oleos;22;Kg;425;;;
30/09/2016;Madeira;RDS do Juma;1;Farinha;1000;Kg;2250;;;
30/09/2016;Madeira;RDS do Juma;1;Farinha;750;Kg;1300;;;
28/09/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;2250;;;
;Madeira;RDS do Juma;1;Oleos;40;Kg;975;;;
28/09/2016;Madeira;RDS do Juma;1;Farinha;4500;Kg;9100;;;
;Madeira;RDS do Juma;1;Oleos;40;Kg;975;;;
30/09/2016;Madeira;RDS do Juma;1;Farinha;500;Kg;1050;;;
;Madeira;RDS do Juma;1;Castanha;400;Kg;760;;;
;Madeira;RDS do Juma;1;Oleos;20;Kg;675;;;
01/10/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;2250;;;
;Madeira;RDS do Juma;1;Oleos;40;Kg;975;;;
;Madeira;RDS do Juma;1;Castanha;200;Kg;450;;;
30/11/2016;Madeira;RDS do Juma;1;Farinha;2500;Kg;4500;;;
;Madeira;RDS do Juma;1;Castanha;7000;Kg;29000;;;
;Madeira;RDS do Juma;1;Acai;9100;Kg;15500;;;
01/12/2016;Madeira;RDS do Juma;1;Farinha;2000;Kg;5100;;;
;Madeira;RDS do Juma;1;Oleos;100;Kg;2600;;;
;Madeira;RDS do Juma;1;Castanha;1000;Kg;3600;;;
;Madeira;RDS do Juma;1;Acai;520;Kg;375;;;
;Madeira;RDS do Juma;1;Farinha;1500;Kg;4250;;;
;Madeira;RDS do Juma;1;Castanha;800;Kg;2800;;;
;Madeira;RDS do Juma;1;Farinha;3000;Kg;10000;;;
;Madeira;RDS do Juma;1;Oleos;800;Kg;20800;;;
;Madeira;RDS do Juma;1;Castanha;15000;Kg;44700;;;
;Madeira;RDS do Juma;1;Acai;10400;Kg;15200;;;
05/12/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;4050;;;
;Madeira;RDS do Juma;1;Oleos;200;Kg;5000;;;
;Madeira;RDS do Juma;1;Castanha;1000;Kg;2375;;;
;Madeira;RDS do Juma;1;Acai;130;Kg;0;;;
05/12/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;3750;;;
;Madeira;RDS do Juma;1;Oleos;600;Kg;14400;;;
;Madeira;RDS do Juma;1;Castanha;500;Kg;1600;;;
05/12/2016;Madeira;RDS do Juma;1;Farinha;2500;Kg;7200;;;
;Madeira;RDS do Juma;1;Oleos;200;Kg;5000;;;
;Madeira;RDS do Juma;1;Castanha;500;Kg;1350;;;
;Madeira;RDS do Juma;1;Acai;416;Kg;780;;;
05/12/2016;Madeira;RDS do Juma;1;Farinha;10000;Kg;39000;;;
;Madeira;RDS do Juma;1;Castanha;5000;Kg;19680;;;
;Madeira;RDS do Juma;1;Acai;18200;Kg;41700;;;
03/12/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;3750;;;
;Madeira;RDS do Juma;1;Castanha;3000;Kg;11200;;;
02/12/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;3900;;;
;Madeira;RDS do Juma;1;Castanha;800;Kg;3160;;;
;Madeira;RDS do Juma;1;Acai;2600;Kg;3800;;;
01/12/2016;Madeira;RDS do Juma;1;Farinha;2500;Kg;6000;;;
;Madeira;RDS do Juma;1;Acai;2600;Kg;3400;;;
;Madeira;RDS do Juma;1;Castanha;1000;Kg;3400;;;
05/12/2016;Madeira;RDS do Juma;1;Farinha;10000;Kg;33320;;;
;Madeira;RDS do Juma;1;Castanha;2200;Kg;8640;;;
;Madeira;RDS do Juma;1;Oleos;150;Kg;3700;;;
;Madeira;RDS do Juma;1;Acai;2600;Kg;3800;;;
;Madeira;RDS do Juma;1;Farinha;1000;Kg;0;;;
28/09/2016;Madeira;RDS do Juma;1;Farinha;1000;Kg;1000;;;
;Madeira;RDS do Juma;1;Castanha;280;Kg;1000;;;
;Madeira;RDS do Juma;1;Oleos;5;Kg;125;;;
28/09/2016;Madeira;RDS do Juma;1;Farinha;1000;Kg;2000;;;
;Madeira;RDS do Juma;1;Castanha;400;Kg;1000;;;
;Madeira;RDS do Juma;1;Oleos;30;Kg;625;;;
19/10/2016;Madeira;RDS do Juma;1;Farinha;250;Kg;400;;;
;Madeira;RDS do Juma;1;Castanha;100;Kg;400;;;
;Madeira;RDS do Juma;1;Oleos;100;Kg;2500;;;
;Madeira;RDS do Juma;1;Acai;1500;Kg;4200;;;
06/11/2016;Madeira;RDS do Juma;1;Farinha;1000;Kg;1000;;;
;Madeira;RDS do Juma;1;Castanha;300;Kg;375;;;
28/11/2016;Madeira;RDS do Juma;1;Farinha;1500;Kg;3600;;;
;Madeira;RDS do Juma;1;Castanha;600;Kg;2400;;;
;Madeira;RDS do Juma;1;Oleos;40;Kg;1000;;;
05/12/2016;Madeira;RDS do Juma;1;Farinha;900;Kg;1500;;;
;Madeira;RDS do Juma;1;Castanha;500;Kg;1800;;;
;Madeira;RDS do Juma;1;Oleos;150;Kg;4200;;;
06/12/2016;Madeira;RDS do Juma;1;Farinha;800;Kg;1500;;;
;Madeira;RDS do Juma;1;Castanha;600;Kg;2320;;;
;Madeira;RDS do Juma;1;Oleos;200;Kg;4875;;;
05/12/2016;Madeira;RDS do Juma;1;Farinha;500;Kg;1050;;;
;Madeira;RDS do Juma;1;Castanha;1000;Kg;3920;;;
;Madeira;RDS do Juma;1;Oleos;150;Kg;4144;;;
;Madeira;RDS do Juma;1;Farinha;300;Kg;0;;;
;Madeira;RDS do Juma;1;Castanha;200;Kg;450;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;400;Kg;520;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;2600;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1560;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;5000;Kg;11050;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;260;Kg;300;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;300;Kg;600;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1250;Kg;2860;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;200;Kg;450;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;2000;Kg;4550;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;1170;Kg;1800;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;350;Kg;875;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1750;Kg;4550;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;300;Kg;900;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;520;Kg;880;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;2250;Kg;5600;;;
19/09/2016;Madeira;RDS do Amapa;1;Acai;2210;Kg;2850;;;
20/09/2016;Madeira;RDS do Amapa;1;Castanha;180;Kg;680;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3000;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;2250;Kg;4800;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;4000;Kg;9000;;;
18/09/2016;Madeira;RDS do Amapa;1;Acai;910;Kg;950;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;3000;Kg;6600;;;
19/09/2016;Madeira;RDS do Amapa;1;Acai;1300;Kg;1520;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1750;Kg;3600;;;
18/09/2016;Madeira;RDS do Amapa;1;Acai;585;Kg;665;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;2250;Kg;4800;;;
19/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;760;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;2250;Kg;4800;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3000;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3000;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1750;Kg;3600;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1680;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3000;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1350;Kg;3240;;;
18/09/2016;Madeira;RDS do Amapa;1;Acai;1300;Kg;1520;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;3000;Kg;6600;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;5400;;;
18/09/2016;Madeira;RDS do Amapa;1;Acai;520;Kg;665;;;
18/09/2016;Madeira;RDS do Amapa;1;Acai;1560;Kg;1900;;;
18/09/2016;Madeira;RDS do Amapa;1;Farinha;1750;Kg;3600;;;
10/12/2016;Madeira;RDS do Amapa;1;Farinha;7500;Kg;18000;;;
10/12/2016;Madeira;RDS do Amapa;1;Castanha;700;Kg;1690;;;
10/12/2016;Madeira;RDS do Amapa;1;Acai;208;Kg;0;;;
10/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;1500;;;
10/12/2016;Madeira;RDS do Amapa;1;Castanha;450;Kg;800;;;
10/12/2016;Madeira;RDS do Amapa;1;Acai;4550;Kg;6800;;;
10/12/2016;Madeira;RDS do Amapa;1;Farinha;3000;Kg;8250;;;
10/12/2016;Madeira;RDS do Amapa;1;Castanha;320;Kg;600;;;
10/12/2016;Madeira;RDS do Amapa;1;Acai;390;Kg;425;;;
10/12/2016;Madeira;RDS do Amapa;1;Farinha;3500;Kg;9000;;;
10/12/2016;Madeira;RDS do Amapa;1;Castanha;550;Kg;1000;;;
10/12/2016;Madeira;RDS do Amapa;1;Acai;780;Kg;850;;;
10/12/2016;Madeira;RDS do Amapa;1;Farinha;3500;Kg;9000;;;
10/12/2016;Madeira;RDS do Amapa;1;Castanha;200;Kg;600;;;
10/12/2016;Madeira;RDS do Amapa;1;Acai;325;Kg;0;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;5000;Kg;12000;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;800;Kg;1540;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;2340;Kg;680;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;7500;Kg;21000;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;130;Kg;200;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3750;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;12000;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6000;;;
09/12/2016;Madeira;RDS do Amapa;1;Castanha;500;Kg;800;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;1300;Kg;1360;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1950;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;130;Kg;160;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;4000;Kg;11250;;;
09/12/2016;Madeira;RDS do Amapa;1;Acai;390;Kg;340;;;
10/12/2016;Madeira;RDS do Amapa;1;Castanha;600;Kg;1425;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2250;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;390;Kg;340;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;200;Kg;450;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6000;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;2000;Kg;5550;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2250;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;100;Kg;200;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;130;Kg;170;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;900;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;100;Kg;160;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;390;Kg;425;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;900;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1250;Kg;3000;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1250;Kg;750;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6000;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3000;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;250;Kg;400;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;1950;Kg;2380;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;3000;Kg;7500;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;300;Kg;500;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;520;Kg;425;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2250;;;
08/12/2016;Madeira;RDS do Amapa;1;Castanha;200;Kg;450;;;
08/12/2016;Madeira;RDS do Amapa;1;Acai;130;Kg;136;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;750;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2700;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;1250;Kg;3000;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;5400;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;4000;Kg;7200;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;2600;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3900;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;5720;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;1300;;;
11/12/2016;Madeira;RDS do Amapa;1;Acai;1300;Kg;1950;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2400;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2800;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3380;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1300;Kg;3400;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2214;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2640;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3510;;;
11/12/2016;Madeira;RDS do Amapa;1;Farinha;1250;Kg;2600;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;2400;Kg;5590;;;
08/12/2016;Madeira;RDS do Amapa;1;Farinha;2000;Kg;4290;;;
data;Madeira;RDS do Amapa;1;Castanha;200;Kg;360;;;
Data;Madeira;RDS do Amapa;1;Acai;2600;Kg;3800;;;
18/12/2016;Madeira;RDS do Amapa;1;Castanha;150;Kg;260;;;
18/12/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2210;;;
18/12/2016;Madeira;RDS do Amapa;1;Acai;2600;Kg;3900;;;
18/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3640;;;
18/12/2016;Madeira;RDS do Amapa;1;Acai;1170;Kg;1800;;;
18/12/2016;Madeira;RDS do Amapa;1;Castanha;1000;Kg;200;;;
18/12/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3640;;;
18/12/2016;Madeira;RDS do Amapa;1;Acai;1170;Kg;1800;;;
18/12/2016;Madeira;RDS do Amapa;1;Castanha;1000;Kg;2300;;;
Data;Madeira;RDS do Amapa;1;Farinha;2000;Kg;3900;;;
Data;Madeira;RDS do Amapa;1;Castanha;700;Kg;1380;;;
;Madeira;RDS do Amapa;1;Acai;1950;Kg;2730;;;
18/12/2016;Madeira;RDS do Amapa;1;Farinha;600;Kg;1300;;;
18/12/2016;Madeira;RDS do Amapa;1;Castanha;500;Kg;1056;;;
18/12/2016;Madeira;RDS do Amapa;1;Acai;1300;Kg;1995;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;250;Kg;0;;;
20/09/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;0;;;
20/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;90;;;
09/10/2016;Madeira;RDS do Amapa;1;Castanha;480;Kg;1575;;;
09/10/2016;Madeira;RDS do Amapa;1;Farinha;3000;Kg;8250;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;2000;Kg;5550;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;600;Kg;2450;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;960;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;2000;Kg;4500;;;
28/09/2016;Madeira;RDS do Amapa;1;Acai;520;Kg;800;;;
27/09/2016;Madeira;RDS do Amapa;1;Farinha;200;Kg;600;;;
27/09/2016;Madeira;RDS do Amapa;1;Acai;260;Kg;400;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;2000;Kg;5550;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;400;Kg;1365;;;
30/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1750;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6600;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;750;Kg;2550;;;
24/09/2016;Madeira;RDS do Amapa;1;Farinha;1250;Kg;3000;;;
24/09/2016;Madeira;RDS do Amapa;1;Castanha;200;Kg;665;;;
24/09/2016;Madeira;RDS do Amapa;1;Acai;910;Kg;2272;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2550;;;
26/09/2016;Madeira;RDS do Amapa;1;Castanha;100;Kg;315;;;
24/09/2016;Madeira;RDS do Amapa;1;Farinha;3500;Kg;9750;;;
24/09/2016;Madeira;RDS do Amapa;1;Castanha;500;Kg;1575;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;200;Kg;0;;;
29/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2100;;;
29/09/2016;Madeira;RDS do Amapa;1;Acai;1040;Kg;1400;;;
29/09/2016;Madeira;RDS do Amapa;1;Castanha;900;Kg;4128;;;
10/10/2016;Madeira;RDS do Amapa;1;Castanha;800;Kg;2800;;;
10/10/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1400;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;1800;Kg;4950;;;
30/09/2016;Madeira;RDS do Amapa;1;Acai;104;Kg;280;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2100;;;
26/09/2016;Madeira;RDS do Amapa;1;Castanha;320;Kg;980;;;
26/09/2016;Madeira;RDS do Amapa;1;Acai;104;Kg;80;;;
29/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;4200;;;
29/09/2016;Madeira;RDS do Amapa;1;Acai;325;Kg;700;;;
29/09/2016;Madeira;RDS do Amapa;1;Castanha;80;Kg;280;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3750;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;100;Kg;350;;;
30/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1400;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;250;Kg;480;;;
28/09/2016;Madeira;RDS do Amapa;1;Castanha;700;Kg;1400;;;
24/09/2016;Madeira;RDS do Amapa;1;Farinha;4000;Kg;10200;;;
24/09/2016;Madeira;RDS do Amapa;1;Castanha;620;Kg;2100;;;
24/09/2016;Madeira;RDS do Amapa;1;Acai;104;Kg;240;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;200;Kg;600;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;1800;Kg;4500;;;
27/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3900;;;
27/09/2016;Madeira;RDS do Amapa;1;Castanha;100;Kg;350;;;
27/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1000;;;
27/09/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1500;;;
27/09/2016;Madeira;RDS do Amapa;1;Castanha;40;Kg;140;;;
27/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1000;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;250;Kg;0;;;
27/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3900;;;
27/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1000;;;
24/09/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6750;;;
24/09/2016;Madeira;RDS do Amapa;1;Castanha;300;Kg;1050;;;
24/09/2016;Madeira;RDS do Amapa;1;Farinha;5000;Kg;14400;;;
24/09/2016;Madeira;RDS do Amapa;1;Acai;390;Kg;980;;;
27/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2400;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1650;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;500;Kg;1645;;;
30/09/2016;Madeira;RDS do Amapa;1;Acai;130;Kg;350;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1800;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;100;Kg;350;;;
24/09/2016;Madeira;RDS do Amapa;1;Farinha;1750;Kg;2250;;;
24/09/2016;Madeira;RDS do Amapa;1;Acai;325;Kg;400;;;
24/09/2016;Madeira;RDS do Amapa;1;Castanha;250;Kg;700;;;
27/09/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1500;;;
27/09/2016;Madeira;RDS do Amapa;1;Castanha;360;Kg;1190;;;
27/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1000;;;
29/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2100;;;
29/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1000;;;
29/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3750;;;
29/09/2016;Madeira;RDS do Amapa;1;Castanha;600;Kg;2450;;;
28/09/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;1200;;;
28/09/2016;Madeira;RDS do Amapa;1;Castanha;700;Kg;2100;;;
28/09/2016;Madeira;RDS do Amapa;1;Acai;650;Kg;1000;;;
27/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2400;;;
27/09/2016;Madeira;RDS do Amapa;1;Acai;520;Kg;400;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;9600;Kg;27300;;;
30/09/2016;Madeira;RDS do Amapa;1;Acai;195;Kg;525;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6000;;;
26/09/2016;Madeira;RDS do Amapa;1;Castanha;200;Kg;700;;;
26/09/2016;Madeira;RDS do Amapa;1;Acai;104;Kg;200;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;1500;Kg;3900;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;150;Kg;525;;;
30/09/2016;Madeira;RDS do Amapa;1;Acai;130;Kg;350;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6750;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;170;Kg;595;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;2000;Kg;5400;;;
30/09/2016;Madeira;RDS do Amapa;1;Castanha;700;Kg;2450;;;
06/10/2016;Madeira;RDS do Amapa;1;Farinha;2500;Kg;6000;;;
29/09/2016;Madeira;RDS do Amapa;1;Farinha;750;Kg;1800;;;
29/09/2016;Madeira;RDS do Amapa;1;Acai;520;Kg;1400;;;
30/09/2016;Madeira;RDS do Amapa;1;Farinha;1250;Kg;3600;;;
10/10/2016;Madeira;RDS do Amapa;1;Castanha;1040;Kg;3640;;;
10/10/2016;Madeira;RDS do Amapa;1;Acai;936;Kg;2520;;;
10/10/2016;Madeira;RDS do Amapa;1;Farinha;4600;Kg;13800;;;
29/09/2016;Madeira;RDS do Amapa;1;Farinha;3500;Kg;10500;;;
29/09/2016;Madeira;RDS do Amapa;1;Castanha;150;Kg;350;;;
29/09/2016;Madeira;RDS do Amapa;1;Acai;520;Kg;600;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;2700;;;
26/09/2016;Madeira;RDS do Amapa;1;Acai;1950;Kg;2550;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;1800;Kg;1500;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;1500;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;300;Kg;260;;;
19/09/2016;Madeira;RDS do Amapa;1;Farinha;300;Kg;0;;;
20/09/2016;Madeira;RDS do Amapa;1;Farinha;500;Kg;750;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;450;Kg;600;;;
26/09/2016;Madeira;RDS do Amapa;1;Acai;1430;Kg;1870;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;1000;Kg;3000;;;
26/09/2016;Madeira;RDS do Amapa;1;Acai;1300;Kg;1700;;;
26/09/2016;Madeira;RDS do Amapa;1;Farinha;600;Kg;750;;;
26/09/2016;Madeira;RDS do Amapa;1;Castanha;800;Kg;2400;;;
26/09/2016;Madeira;RDS do Amapa;1;Acai;390;Kg;0;;;
19/09/2016;Madeira;RDS do Amapa;1;Farinha;250;Kg;150;;;
26/09/2016;Madeira;RDS do Amapa;1;Cacau;313;Kg;2191;;;
;Madeira;RDS do Madeira;1;Castanha;450;Kg;1848;;;
;Madeira;RDS do Madeira;1;Farinha;2500;Kg;0;;;
;Madeira;RDS do Madeira;1;Farinha;500;Kg;0;;;
;Madeira;RDS do Madeira;1;Farinha;5000;Kg;0;;;
;Madeira;RDS do Madeira;1;Farinha;1000;Kg;1600;;;
;Madeira;RDS do Madeira;1;Farinha;1000;Kg;0;;;
;Madeira;RDS do Madeira;1;Cacau;300;Kg;1800;;;
;Madeira;RDS do Madeira;1;Farinha;400;Kg;0;;;
;Madeira;RDS do Madeira;1;Cacau;500;Kg;3500;;;
;Madeira;RDS do Madeira;1;Castanha;30;Kg;150;;;
;Madeira;RDS do Madeira;1;Cacau;600;Kg;4200;;;
;Madeira;RDS do Madeira;1;Cacau;1000;Kg;7500;;;
;Madeira;RDS do Madeira;1;Farinha;500;Kg;0;;;
;Madeira;RDS do Madeira;1;Castanha;800;Kg;2400;;;
;Madeira;RDS do Madeira;1;Cacau;1000;Kg;7500;;;
;Madeira;RDS do Madeira;1;Farinha;500;Kg;0;;;
;Madeira;RDS do Madeira;1;Farinha;500;Kg;0;;;
07/12/2016;Madeira;RDS do Madeira;1;Castanha;100;Kg;450;;;
;Madeira;RDS do Madeira;1;Oleos;4;Lata;2000;;;
;Madeira;RDS do Madeira;1;Farinha;250;Kg;0;;;
;Madeira;RDS do Madeira;1;Farinha;500;Kg;0;;;
;Madeira;RDS do Madeira;1;Castanha;2500;Kg;10000;;;
